item_id,description,description_2,group_description,unit_sale_price (CLP),cost (CLP),storage_cost (CLP),stock,size_m3,cost_per_purchase
1701,meloxivet 60 ml,analgesico,medicamentos,14900,10347,28,2,0.0002,500
1489,le salon cortauñas alicate ergonomico,grooming,accesorios,15990,11666,34,0,0.001,500
921,comedero interactivo garra marrón y azúl,juguetes,accesorios,20030,13145,49,0,0.004,500
275,revolution perro 5-10 kg,ant. ext.,medicamentos,18700,12413,35,2,0.0002,500
416,royal canin baby cat milk 300gr,suplementos,alimento,18450,13913,55,1,0.015,2850
1655,honey h-harness medium,paseo,accesorios,16900.4,11106,36,1,0.001,550
247,capa polar c/chiporro t-s (1)  a. doctor,ropa,accesorios,6550,4447,14,1,0.001,500
383,zeus nosh hueso duro sabor tocino l,juguetes,accesorios,12990,8638,31,2,0.004,950
322,afp dog sparkle cepillo dedo/pasta,juguetes,accesorios,14490,10920,30,5,0.001,500
203,zeus collar ajustable xl azul denim,paseo,accesorios,6670,4406,17,1,0.004,500
873,zeedog prisma h-harness small,paseo,accesorios,13850,9156,34,0,0.004,1050
1111,brit mono protein turkey & sweet potato 400 g,latas,alimento,3600,2494,11,0,0.015,2050
1303,revolution gato 2.5-7.5 kg,ant. ext.,medicamentos,14990,11826,28,6,0.0002,500
352,coastal new earth collar de soya menta xs,paseo,accesorios,9190,7209,19,0,0.001,500
1617,tetra goldfish flakes,,,,,,,,
575,capa arnè talla 2 cata pets,ropa,accesorios,14480,9604,35,0,0.004,600
1868,kit acuario,hogar-transporte,accesorio,119990,82370,570,,,500
479,coastal style collar teal purple diamonds s,paseo,accesorios,7990,5318,17,2,0.001,500
942,bravery chicken mini puppy small breeds 2 kg,cachorros,alimento,16990,11652,52,9,0.015,1600
1255,fancy feast terrine pollo 85 g,latas,alimento,900,691,3,6,0.015,3400
305,pro plan kitten 7,,,,,,,,
514,simparica 40 mg  x 3 tab. 10,,,,,,,,
1189,parka t/3 cata pets,ropa,accesorios,18890,15078,46,0,0.004,500
1301,zeus arnes fig.a  m  azuldenim,paseo,accesorios,10990,7710,23,0,0.001,500
529,zd midnight adjustable air mesh harness medium,paseo,accesorios,23900,16634,50,0,0.001,500
620,feline  i/d  lata x 156gr,latas medicadas,alimento,7720,5800,24,51,0.015,1300
1766,bliss collar small,paseo,accesorios,9900,6451,25,2,0.004,500
366,cordon amarre 8 mm a. doctor,paseo,accesorios,5190,3523,11,1,0.001,500
1509,poo bolsas compostables 60 u,higiene,accesorio,6990,4822,14,11,0.001,500
1105,coastal sublime trailla chevrons/navy,paseo,accesorios,19590,13487,41,1,0.001,600
764,zd army green cat collar,paseo,accesorios,4900,3506,10,0,0.001,500
394,pawise pasto sanitario 43 x 67 cm,higiene,accesorios,45990,34877,96,0,0.001,1200
1791,belcando búfalo de agua 400 gr,humedo,alimento,5590,3722,12,,,500
464,royal canin intense hairball 1,,,,,,,,
1054,zeedog prisma h-harness extra small,paseo,accesorios,11860,8667,25,1,0.001,500
946,collar gatos,paseo,accesorios,2990,2174,6,0,0.001,500
1498,bravery salmon mini adult small breeds 2 kg,adultos,alimento,18990,12833,57,2,0.015,1600
1860,small bird diet 1 kg,adultos,alimento,16990,12214,36,,,500
1107,dispensador agua maya m 700 ,comederos,accesorios,8490,6408,18,3,0.001,500
1608,coastal maslow  plato paw rosado 1596 ml,paseo,accesorios,15990,11143,34,0,0.001,500
806,afp chill out ice bandana,,,,,,,,
111,zeedog atlanta adjustable air mesh harness small,paseo,accesorios,19300,12954,47,0,0.004,500
582,jaula transporte pratiko metal 2,hogar-transporte,accesorios,29310,20741,61,3,0.001,800
1033,zeedog prisma leash large,paseo,accesorios,16840,11371,35,0,0.001,500
1340,dogit alfombrilla educadora  x-large 20u,higiene,accesorios,16990,13409,36,0,0.001,500
298,afp fetch dog n treat,juguetes,accesorios,34930,25804,74,0,0.001,800
879,dog arnés negro,paseo,accesorio,21990,14294,46,19,0.001,500
1572,parka t/0 cata pets,ropa,accesorios,15890,11578,39,0,0.004,500
1206,dogit cuerda anudada sabor menta 26 cm,juguetes,accesorios,6790,4456,17,1,0.004,500
887,puzzle soft-walk harness medium,paseo,accesorios,18899.6,13644,39,0,0.001,600
1273,zeedog mahalo h-harness small,paseo,accesorios,13850,10343,29,1,0.001,500
1170,zd skull 2.0 harness + leash set,paseo,accesorios,11900,7965,25,2,0.001,500
297,dogit alfombrilla educadora  medium 30un,higiene,accesorios,13490,10330,33,2,0.004,1250
1713,bravecto 1.000 mg perro 20 a 40 kg,ant. ext.,medicamentos,49650,33507,92,0,0.0002,800
1085,pro plan sensitive cat 3kg ar,adultos,alimento,36370,23966,109,3,0.015,2950
544,coastal maslow plato cobre martillado 2188 ml,paseo,accesorios,15990,11328,34,1,0.001,550
1452,zeus trailla dobl asa  s  azuldenim 1,,,,,,,,
