id;item_id;date;quantity;cost (CLP);delivery_date
1;483;2020-01-06;10;362900.0;2020-01-13
2;41;2020-01-06;10;327630.0;2020-01-16
3;751;2020-01-06;64;4525888.0;2020-01-29
4;1706;2020-01-06;26;867204.0;2020-01-26
5;1408;2020-01-06;7;109270.0;2020-01-14
6;1085;2020-01-13;5;119830.0;2020-01-24
7;637;2020-01-13;12;394356.0;2020-01-26
8;930;2020-01-13;21;393477.0;2020-01-21
9;561;2020-01-13;7;28305.0;2020-01-22
10;212;2020-01-13;9;113301.0;2020-01-21
11;535;2020-01-13;10;118368.0;2020-01-17
12;1392;2020-01-13;9;104346.0;2020-01-19
13;73;2020-01-13;12;344028.0;2020-01-26
14;693;2020-01-13;7;11958.25;2020-01-22
15;1476;2020-01-13;15;486585.0;2020-01-21
16;1556;2020-01-13;12;152280.0;2020-01-21
17;813;2020-01-13;25;431900.0;2020-01-16
18;584;2020-01-13;8;186880.0;2020-01-27
19;1247;2020-01-13;10;13545.0;2020-01-22
20;483;2020-01-13;2;72580.0;2020-01-21
21;353;2020-01-13;6;78084.0;2020-01-20
22;694;2020-01-13;1;5492.0;2020-01-21
23;1493;2020-01-13;11;201146.0;2020-01-19
24;1179;2020-01-13;6;79332.0;2020-01-18
25;1252;2020-01-13;13;410098.0;2020-01-25
26;5;2020-01-13;3;5805.0;2020-01-15
27;1650;2020-01-13;5;241080.0;2020-01-20
28;1734;2020-01-13;5;7430.0;2020-01-27
29;624;2020-01-13;14;243012.0;2020-01-19
30;9;2020-01-13;9;13842.0;2020-01-27
31;1217;2020-01-13;2;36776.0;2020-01-22
32;176;2020-01-13;1;1743.0;2020-01-22
33;1717;2020-01-13;9;14211.0;2020-01-25
34;1135;2020-01-13;6;81210.0;2020-01-18
35;279;2020-01-13;23;287776.0;2020-01-20
36;122;2020-01-13;7;99169.0;2020-01-25
37;1439;2020-01-13;10;128000.0;2020-01-25
38;627;2020-01-13;10;16409.333333333332;2020-01-17
39;1719;2020-01-13;13;29822.0;2020-01-24
40;1678;2020-01-13;19;1203175.0;2020-02-10
41;520;2020-01-13;11;353595.0;2020-01-25
42;1590;2020-01-13;9;13626.666666666664;2020-01-18
43;1225;2020-01-20;14;394380.0;2020-02-01
44;534;2020-01-20;22;94468.0;2020-01-29
45;1392;2020-01-20;1;11594.0;2020-01-25
46;1446;2020-01-20;7;84924.0;2020-01-27
47;999;2020-01-20;26;882804.0;2020-02-07
48;629;2020-01-20;28;1675914.0;2020-02-06
49;900;2020-01-20;14;249023.0;2020-02-03
50;346;2020-01-20;1;11740.0;2020-01-28
51;1720;2020-01-20;7;215558.0;2020-01-28
52;41;2020-01-20;1;32763.0;2020-01-25
53;1493;2020-01-20;7;128002.0;2020-01-31
54;1179;2020-01-20;1;13222.0;2020-01-27
55;1067;2020-01-20;17;36312.0;2020-01-26
56;1383;2020-01-20;1;693.0;2020-01-24
57;1135;2020-01-20;13;175955.0;2020-02-02
58;709;2020-01-20;12;577932.0;2020-02-02
59;1529;2020-01-20;13;442533.0;2020-02-05
60;699;2020-01-20;7;139769.0;2020-02-03
61;1085;2020-01-27;2;47932.0;2020-01-30
62;930;2020-01-27;4;74948.0;2020-02-03
63;561;2020-01-27;2;9435.0;2020-01-31
64;1168;2020-01-27;6;218484.0;2020-02-03
65;693;2020-01-27;10;15815.75;2020-02-06
66;1476;2020-01-27;1;32439.0;2020-02-03
67;1556;2020-01-27;1;12690.0;2020-02-15
68;813;2020-01-27;0;5758.666666666677;2020-01-30
69;584;2020-01-27;2;46720.0;2020-01-30
70;1247;2020-01-27;1;1935.0;2020-02-09
71;483;2020-01-27;1;36290.0;2020-02-05
72;353;2020-01-27;1;13014.0;2020-01-30
73;1446;2020-01-27;17;206244.0;2020-02-07
74;1293;2020-01-27;1;2018.0;2020-02-01
75;41;2020-01-27;26;851838.0;2020-02-06
76;1252;2020-01-27;2;63092.0;2020-02-05
77;1734;2020-01-27;4;5944.0;2020-02-14
78;9;2020-01-27;3;4614.0;2020-02-06
79;1272;2020-01-27;10;344760.0;2020-02-07
80;176;2020-01-27;1;1743.0;2020-01-31
81;1069;2020-01-27;7;61292.0;2020-02-02
82;1717;2020-01-27;12;19737.5;2020-02-02
83;928;2020-01-27;5;111500.0;2020-02-01
84;122;2020-01-27;3;42501.0;2020-01-31
85;1408;2020-01-27;8;132685.0;2020-01-31
86;520;2020-01-27;8;257160.0;2020-02-01
87;1590;2020-01-27;5;8273.333333333336;2020-01-30
88;1701;2020-02-03;8;82776.0;2020-02-15
89;275;2020-02-03;6;74478.0;2020-02-10
