FECHA,IN0560-Control Patín Gas/Vacío Pos. Trab.,IN0000-Rotación Solicitado,IN0175-Control Protecciones Traseras Abiertas,IN0252-Control Automático Ventilad. 1 Campana,IN0951-Control Ups Funcionamiento de Batería
2022-09-06,0,0,0,0,0
2022-09-07,0,3,1,0,0
2022-09-08,0,0,0,634,0
2022-09-09,0,0,4,2583,0
2022-09-10,0,1,3,492,0
2022-09-11,0,0,0,0,0
2022-09-12,0,1,3,0,0
2022-09-13,0,0,1,0,0
2022-09-14,0,0,2,0,0
2022-09-15,0,5,1,1071,0
2022-09-20,5,1,13,0,1
2022-09-21,0,0,0,800,0
2022-09-22,0,2,4,1616,0
2022-09-23,0,2,0,1783,0
2022-09-24,0,12,0,1374,0
2022-09-25,0,0,5,34,0
2022-09-26,0,2,2,861,0
2022-09-27,0,0,0,3084,0
2022-09-28,0,6,0,1910,0
2022-09-29,0,5,9,1454,2
2022-09-30,0,1,3,1527,0
2022-10-01,0,1,0,820,0
2022-10-03,0,7,5,352,0
2022-10-04,0,0,0,1797,0
2022-10-05,0,3,0,1336,0
2022-10-06,0,1,0,1538,0
2022-10-07,0,1,0,810,0
2022-10-08,0,7,0,523,0
2022-10-11,0,9,0,772,0
2022-10-12,0,3,0,1480,0
2022-10-13,0,2,7,2013,0
2022-10-14,0,1,0,1667,0
2022-10-15,0,0,1,1176,0
2022-10-17,0,3,9,351,0
2022-10-18,0,1,0,848,0
2022-10-19,0,6,0,1335,0
2022-10-20,0,0,7,2083,0
2022-10-21,0,3,0,1495,0
2022-10-22,0,1,0,1851,0
2022-10-24,2,26,27,372,0
2022-10-25,0,2,0,1932,0
2022-10-26,0,0,0,2419,0
2022-10-27,0,5,0,1600,0
2022-10-28,0,0,0,2076,0
2022-10-29,0,6,0,1359,0
2022-11-02,0,5,11,1149,0
2022-11-03,0,0,0,1616,0
2022-11-07,0,3,4,545,0
2022-11-08,0,4,1,1296,0
2022-11-09,1,0,0,2316,0
2022-11-10,0,12,0,1364,0
2022-11-11,0,3,0,1102,0
2022-11-12,1,3,0,1410,0
2022-11-14,0,16,1,1014,0
2022-11-15,0,3,0,1124,0
2022-11-16,0,2,0,1265,0
2022-11-17,0,3,0,1277,0
2022-11-18,1,0,0,2349,0
2022-11-19,0,0,0,895,0
2022-11-21,0,0,1,456,0
2022-11-22,0,0,0,43,0
2022-11-28,0,1,0,81,0
2022-11-29,0,3,2,424,0
2022-11-30,0,0,1,1956,0
2022-12-01,0,0,0,682,0
2022-12-02,0,4,4,820,0
2022-12-03,0,2,3,976,0
2022-12-04,0,0,0,2,0
2022-12-05,0,16,22,547,0
2022-12-06,0,0,2,1519,0
2022-12-07,0,10,0,1292,0
2022-12-09,0,12,1,859,0
2022-12-10,0,2,1,1062,0
2022-12-12,0,14,4,497,0
2022-12-13,1,2,0,1703,0
2022-12-14,0,1,0,1154,0
2022-12-15,0,16,1,1441,0
2022-12-16,0,2,0,1549,0
2022-12-17,0,10,0,1043,0
2022-12-20,0,0,0,870,0
2022-12-21,0,0,0,1515,0
2022-12-22,0,1,0,1929,0
2022-12-23,0,3,0,1065,0
2022-12-24,0,4,0,502,0
2022-12-26,0,0,0,673,0
2022-12-27,0,6,0,745,0
2022-12-28,0,6,1,965,0
2022-12-29,0,5,0,851,0
2022-12-30,0,1,0,1224,0
2022-12-31,0,9,0,260,0
2023-01-03,0,5,7,765,0
2023-01-04,0,0,0,809,0
2023-01-09,0,0,7,653,0
2023-01-10,0,1,2,725,0
2023-01-17,0,1,0,155,0
2023-01-18,0,1,1,852,0
2023-01-19,0,1,0,131,0
2023-01-20,0,0,0,631,0
2023-01-21,0,0,0,1433,0
2023-01-22,0,1,0,10,0
2023-01-23,0,12,22,308,0
2023-01-24,0,3,2,1050,0
2023-01-25,0,1,0,1646,0
2023-01-26,0,6,0,1569,0
2023-01-27,0,8,2,965,0
2023-01-28,0,4,2,556,0
2023-01-30,0,0,0,42,0
2023-01-31,0,9,9,1270,0
2023-02-01,0,2,2,910,0
2023-02-02,0,6,1,730,0
2023-02-03,0,8,0,779,0
2023-02-04,0,7,0,229,0
2023-02-05,0,2,2,55,0
2023-02-07,1,5,14,1418,0
2023-02-08,0,3,0,902,0
2023-02-09,0,3,0,336,0
2023-02-10,0,7,0,533,0
2023-02-11,0,0,1,44,0
2023-02-13,0,7,0,719,0
2023-02-14,0,8,0,902,0
2023-02-15,0,1,0,659,0
2023-02-16,0,5,0,865,0
2023-02-17,0,3,1,1236,0
2023-02-18,0,2,2,840,0
2023-02-19,0,1,0,838,0
2023-02-20,0,0,0,116,0
2023-02-21,0,5,4,1042,0
2023-02-22,0,0,0,695,0
2023-02-23,0,5,1,927,0
2023-02-24,0,3,7,853,0
2023-02-25,4,4,13,383,0
2023-02-26,1,1,0,109,0
2023-02-28,0,4,7,596,0
2023-03-01,0,1,0,1273,0
2023-03-02,0,0,0,1516,0
2023-03-03,0,4,3,998,0
2023-03-04,0,2,3,1118,0
2023-03-05,0,1,0,1198,0
2023-03-08,0,0,0,513,0
2023-03-09,0,4,1,480,0
2023-03-10,0,2,0,170,0
2023-03-11,0,6,5,519,0
2023-03-12,0,2,0,19,0
2023-03-13,0,0,2,200,0
2023-03-14,0,0,2,738,0
2023-03-15,0,0,1,313,0
2023-03-16,0,0,1,938,0
2023-03-17,0,3,0,771,0
2023-03-18,0,0,4,1066,0
2023-03-19,0,2,1,714,0
2023-03-20,0,0,0,2,0
2023-03-22,0,0,0,405,0
2023-03-23,0,5,5,801,0
2023-03-24,0,6,1,864,0
2023-03-25,0,2,1,1162,0
2023-03-26,0,2,0,11,0
2023-03-27,0,4,0,91,0
2023-03-28,0,1,1,1804,0
2023-03-29,0,2,12,945,0
2023-03-30,0,3,0,1083,0
2023-03-31,0,3,0,913,0
2023-04-01,0,0,3,1164,0
2023-04-02,0,0,0,315,0
2023-04-03,0,0,0,266,0
2023-04-04,0,8,3,1273,0
2023-04-05,0,5,4,742,0
2023-04-06,0,5,0,285,0
2023-04-12,0,0,0,183,0
2023-04-13,0,1,3,412,0
2023-04-14,0,4,0,111,0
2023-04-17,0,0,4,504,0
2023-04-18,0,0,1,729,0
2023-04-19,0,0,3,835,0
2023-04-20,0,5,1,856,0
2023-04-21,0,0,0,596,0
2023-04-22,0,0,0,361,0
2023-04-24,0,1,0,742,0
2023-04-25,0,2,0,1427,0
2023-04-26,0,15,5,1379,0
2023-04-27,0,3,1,935,0
2023-04-28,0,1,0,1811,0
2023-04-29,0,2,0,1068,0
2023-05-02,0,2,0,671,1
2023-05-03,0,0,1,1925,0
2023-05-04,0,3,0,2469,0
2023-05-05,0,1,0,573,0
2023-05-08,0,0,0,375,0
2023-05-09,0,5,2,968,0
2023-05-10,0,3,0,1387,0
2023-05-11,0,10,0,1207,0
2023-05-12,0,8,1,918,0
2023-05-17,0,0,1,400,0
2023-05-18,0,19,8,1103,0
2023-05-19,0,1,0,1604,0
2023-05-20,0,0,0,643,0
2023-05-22,0,2,1,946,0
2023-05-23,0,0,2,388,0
2023-05-29,0,0,0,564,0
2023-05-30,0,0,0,2024,0
2023-05-31,0,2,0,957,0
2023-06-01,0,7,0,789,0
2023-06-02,0,3,1,1400,0
2023-06-03,2,3,0,700,0
2023-06-05,1,2,0,29,0
2023-06-06,1,0,1,46,1
2023-06-08,0,0,0,0,0
2023-06-09,0,0,12,0,0
2023-06-10,0,6,28,135,0
2023-06-11,0,10,0,0,0
2023-06-12,0,11,19,202,4
2023-06-13,0,0,0,520,0
2023-06-14,0,0,0,678,0

2023-06-15,0,0,0,0,0
2023-06-16,0,0,0,0,0
2023-06-17,0,0,0,0,0
2023-06-18,0,0,0,0,0
2023-06-19,0,0,0,0,0
