FECHA,IN0470-Control Estrella Entrada,IN0517-Control Caja Compresión Abierta,IN0070-Señal Bloqueo Inversor Motor Principal,Estrellas Enjuagadora,Faltan Corchos en Botellas.x,IN0250-Control Presostato Atascamiento Filtro 1 Campana,IN0577-Control Botella Colgada,IN0294-Control Auto. Bomba Vacío Alto,IN0574-Control Protecciones Delanteras Abiertas,IN0575-Control Protecciones Traseras Abiertas,Mando Manual Habilitado,IN0291-Control Auto. Motor Ajuste Depósito,CIP-Señal de CIP de Alarma,Máquina Desfasada,IN0476-Control Protecciones Laterales Abiertas
2022-09-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-07,4,1,0,0,0,0,0,0,16,1,0,0,0,0,0
2022-09-08,0,0,4,3,0,0,0,0,12,0,0,0,0,0,0
2022-09-09,0,2,0,0,0,0,0,0,49,18,5,0,0,0,0
2022-09-10,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
2022-09-11,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0
2022-09-12,1,0,0,0,1,0,0,0,9,0,0,0,0,0,0
2022-09-13,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0
2022-09-14,3,0,0,0,0,0,0,0,9,0,0,0,1,0,0
2022-09-15,0,0,5,1,0,1,0,0,0,0,0,1,0,0,0
2022-09-20,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
2022-09-21,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
2022-09-22,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2022-09-23,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0
2022-09-24,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0
2022-09-25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-26,1,0,2,1,0,0,0,0,7,0,0,0,0,0,0
2022-09-27,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
2022-09-28,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-29,0,0,5,3,0,0,0,0,3,0,11,0,0,3,0
