FECHA,IN0171-Control Estrella Salida,Falta Cera en Botellas,IN0071-Señal Emergencia Presionada - vea tab. sinóptica máquina para detalles,Volante No En Reposo,IN0467-Control Temperatura No Adec.  Pistola Pegamen.,IN0582-Control Temp. Máx Esterilización Tapas,IN0573-Control Rosca Salida,IN0042-Señal Paro Ftc Acum. Bot. Salida.x,IN0280-Control Cuba Alcohol Desalineada,Botella Ausente,Rosca,Tapadora Rosca,Enjuagadora,Error Acoplamiento Tapadora 2,INA0000-Falta Ref. Velocidad de Inversor Motor Principal,INA0228- Avería Sonda Presión Sondra,Error Codif. Torreta,IN0195-Control Auto. Motor Ventilador 1 Campana Enjuagadora,IN0246-Control Guía Entrada Accion.,PLC Parado,IN0454-Control Canal Falta Tapas Pieza Final Paro Máquina,IN0173-Control Rosca Salida,Dbx 31.0,Mantenimiento Programado,Conteo Botellas Alcanzado,IN0064-Señal Mesa Acum. Bot. Llena,Llenadora,Master,Temperatura Máx. Cuba Bombas,IN0096-Control Automático Alimentación Ctrl Nivel/Tapa,INA0322-Control Seguridad Cubeta,IN0950-Control Alarma Ups,IN0277-Control Botella Colgada,IN0170-Control Estrella Entrada,IN0592-Control Auto. Termorresistent. Esterlización Tapas,Timeout Fase,IN0270-Control Estrella Entrada,Temperatura No Mantenida,Timeout Solicitado,IN0546-Control Guía Entrada accion.,Control Seguridades,IN0230-IN0231-Leva Desc. Conos Recipient. Desalin.,NA,IN0232-IN0233-Cubata Desalineada,IN0031-Grasa Bloqueada,Modulación Entrada Producto Equivocada,Bloq. Botellas Activado por Tecla,Puertas Desbloq.,Señal Falta Solicitud lista de CIP,OUT0210-Válvula Entrada Producto Cerrada por Falta Consentimiento de Centralita C.I.P.,IN0174-Control Protecciones Delanteras Abiertas,Faltan Corchos en Botellas.y,Primer Llenado en Curso,Bloq. Botellas Activado por Flujo,IN0041-Señal Ftc Paro Ninguna  Botella Entrada,IN0274-Control Protecciones Delanteras Abiertas,IN0275-Control Protecciones Traseras Abiertas
2022-09-06,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,101,12,1,4,4,2,1,0,0,0,0,0
2022-09-07,0,4,2,1,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,594,38,3,4,3,4,0,11,60,10,12,1
2022-09-08,1,0,0,0,0,15,16,0,2,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,537,17,7,6,4,2,0,4,37,15,7,0
2022-09-09,0,0,0,0,0,6,3,2,5,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,1345,105,14,6,6,2,0,2,76,34,44,17
2022-09-10,2,0,0,2,0,8,20,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1321,82,11,3,2,8,0,1,97,71,32,6
2022-09-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2022-09-12,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,10,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,69,1,2,2,22,0,4,29,10,37,5
2022-09-13,2,13,0,4,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1347,44,21,2,2,4,0,0,31,8,43,0
2022-09-14,2,10,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1034,85,9,8,6,19,0,2,26,6,9,2
2022-09-15,3,9,2,1,0,0,0,6,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,126,4,21,16,4,0,16,47,5,14,1
2022-09-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,22,7
2022-09-21,2,3,0,1,0,0,0,3,1,0,1,0,1,0,0,17,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,59,1,5,5,14,0,23,44,19,15,0
2022-09-22,3,19,1,13,2,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804,36,4,13,3,7,2,6,59,20,33,4
2022-09-23,1,0,3,1,0,2,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854,135,3,12,5,14,0,23,111,30,14,0
2022-09-24,3,0,2,0,0,9,38,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,52,3,18,10,3,0,20,94,33,4,9
2022-09-25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12
2022-09-26,5,1,4,2,3,0,1,1,3,0,1,0,1,0,0,8,0,0,0,0,0,0,2,0,0,2,1,1,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,362,142,2,18,0,108,0,48,54,1,10,4
2022-09-27,0,10,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558,53,18,6,6,7,2,2,82,2,29,0
2022-09-28,0,5,1,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,89,13,7,6,6,0,9,86,2,14,0
2022-09-29,0,5,4,2,0,0,0,5,0,0,3,0,3,0,0,4,0,0,0,0,0,2,0,0,0,3,3,3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,663,201,22,7,5,67,0,4,78,13,28,2
2022-09-30,0,1,1,0,7,23,3,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737,106,10,4,1,15,0,11,135,44,22,2
2022-10-01,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,69,3,12,7,5,0,25,48,19,7,0
2022-10-03,0,4,3,3,0,0,0,1,1,0,1,1,1,0,0,7,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,120,64,0,10,1,12,0,32,16,4,21,7
2022-10-04,1,34,0,23,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884,50,2,7,6,1,0,4,87,8,27,0
2022-10-05,1,8,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,79,20,5,4,16,1,16,121,3,9,0
2022-10-06,0,26,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735,75,1,13,9,3,1,8,53,3,15,0
2022-10-07,0,7,0,3,2,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,83,4,20,14,1,1,5,34,2,16,2
2022-10-08,0,0,0,0,0,3,11,0,0,1,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,240,2,3,5,3,1,0,3,32,13,1,0
2022-10-11,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,61,3,4,4,12,0,10,36,1,14,0
2022-10-12,3,10,2,3,2,6,4,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,117,8,15,6,13,2,18,74,14,41,0
2022-10-13,0,0,0,4,3,1,16,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,997,90,28,9,8,13,0,0,123,33,14,11
2022-10-14,2,8,0,3,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819,69,30,1,1,4,1,2,40,11,10,0
2022-10-15,1,7,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,38,1,4,2,2,0,0,47,0,12,0
2022-10-17,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,64,28,0,0,13,0,41,25,1,11,1
2022-10-18,0,3,1,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,53,1,8,2,2,0,4,66,2,10,2
2022-10-19,2,3,0,0,4,2,1,2,0,0,0,0,0,0,0,12,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655,82,11,1,0,9,0,13,63,13,15,1
2022-10-20,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,145,19,2,1,18,0,0,113,3,17,1
2022-10-21,0,14,0,13,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,848,148,2,3,1,32,2,6,118,5,17,0
2022-10-22,1,49,1,43,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,162,5,19,11,2,4,26,61,4,50,0
2022-10-24,1,0,1,0,2,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,74,20,0,0,0,45,0,10,2,2,66,6
2022-10-25,0,58,0,56,0,0,0,11,0,0,1,0,1,0,0,3,0,0,0,0,0,0,14,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1044,184,0,1,0,15,6,28,56,3,112,1
2022-10-26,3,33,0,25,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365,175,2,11,6,6,1,10,92,5,33,2
2022-10-27,3,4,1,1,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825,160,0,12,3,6,1,34,117,6,24,0
2022-10-28,1,0,2,3,0,2,40,4,0,0,0,0,0,0,0,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,182,5,0,0,6,0,25,223,72,3,0
2022-10-29,0,0,1,1,0,10,45,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,49,5,8,4,2,0,11,74,20,1,0
2022-11-02,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,49,6,7,8,24,1,8,39,4,18,2
2022-11-03,0,5,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808,24,0,3,3,2,0,0,76,0,2,1
2022-11-07,1,5,0,2,0,0,0,2,0,0,2,2,2,0,0,6,0,0,0,0,0,0,4,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,127,23,0,0,0,0,47,45,17,26,7
2022-11-08,0,1,6,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,122,6,15,13,21,0,33,87,5,16,1
2022-11-09,1,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,38,0,5,4,4,0,8,72,5,2,0
2022-11-10,2,5,0,5,4,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,65,21,4,3,11,0,3,62,19,14,0
2022-11-11,2,1,1,1,2,0,0,3,0,0,0,0,0,0,0,3,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,475,79,4,6,3,14,0,10,78,31,11,0
2022-11-12,0,0,1,0,0,2,45,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614,41,8,9,4,0,0,8,93,30,0,0
2022-11-14,0,0,4,0,6,5,2,4,0,0,0,0,0,0,0,17,1,2,4,4,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,87,8,8,5,20,0,40,95,33,33,3
2022-11-15,0,1,1,1,2,2,9,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,84,2,8,8,2,0,5,64,3,18,1
2022-11-16,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,85,6,25,5,25,1,12,67,4,27,5
