FECHA,IN0081-Control Presostato No Hay Aire en Red.x,IN0191-Control Automático Extractor Humo,Dbx 27.1,Falta Comunicación PLC Depósito,IN0273-Control Rosca Salida,IN0241-Control Presostato Correa Ventilad. 2 Campana,IN0570-Control Estrella Entrada,IN0054-Señal Ftc Presencia Botella Caída,Estrellas Llenadora,IN0086-Control Sobretemperatura Armario,Alimentador Tapones Vacío,IN0090-Control Automático Motor Cinta,Dbx 35.1,Error Acoplam. Enjuagadora,INA0227-Avería Sonda Presión Circuito Vacío Bajo,IN0034-Control Disp. Automáticos Intervenidos Grave,IN0180-Control Presostato Tratamiento 1,IN0186-Control Presostato Soplado Gotas,IN0377- Ajuste Auto. Anillo Dispositivos,IN0320-IN0321-Leva Desc. Conos Delanteros Desalin.,IN0305-Control Botella Explotada Salida,IN0196-Control Presostato Correa Ventilador 1 Campana Enjuagadora,IN0234-Control Posición Pirómetro,IN0484-Control Bloq. Inversor Motor Cabezales (,Botella Rota TV,IN0954-Control Automáticos Circuitos 480V CA Drive,OUT0031-Mando Disposit. Engrase,IN0052-Señal Bloq. Botellas Activad. de Línea,OUT0204-Lubricación en Curso,Vel. Lenta Seleccionada,INA0227-Vacío Bajo Demasiado Alto,IN0002-Auxiliares No Presentes,IN0047-Señal Lenta de Línea Salida,IN0083-Selector Panel de Mando Volante Habilitado,IN0474-Control Protecciones Delanteras Abiertas,IN0046-Señal Paro de  Línea Salida,IN0040-Señal Ftc Lenta Ninguna Botella Entrada,INA0200-Nivel Mínimo Depósito,INA0227-Vacío Bajo Demasiado Bajo,IN0042-Señal Paro Ftc Acum. Bot. Salida.y,IN0475-Control Protecciones Traseras Abiertas,Señal Ftc Lenta Acum. Bot. Salida,Elevación en Curso,IN0081-Control Presostato No Hay Aire en Red.y,IN0061-Control Presostato No Gas Inerte,INA0200-Nivel Máximo Depósito,Máquina ligeramente Desfasada,IN0594-Control Auto. Motor Ajuste Émbolos,OUT0207-Presión Cilindros Demasiado Baja
2022-09-06,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,22,93,6,5,16,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-07,3,2,1,1,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,134,66,137,54,66,82,21,2,39,10,9,4,18,0,0,0,0,0,0,0,0,0
2022-09-08,2,1,1,1,0,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,202,59,19,48,64,60,0,4,21,13,3,0,5,1,0,0,0,0,0,0,0,0
2022-09-09,0,3,1,1,1,0,0,9,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,271,103,92,90,141,101,23,16,51,21,1,2,18,25,11,0,0,0,0,0,0,0
2022-09-10,0,0,0,1,1,0,0,6,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,201,97,106,73,76,120,3,3,54,36,0,0,0,0,4,0,0,0,0,0,0,0
2022-09-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-12,0,3,3,0,1,4,3,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,133,31,78,31,134,50,30,10,20,26,2,0,3,0,10,0,0,0,0,0,0,0
2022-09-13,0,1,4,0,1,3,0,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,239,108,173,105,126,50,18,49,13,56,0,0,13,0,0,0,0,0,0,0,0,0
2022-09-14,0,4,4,2,0,9,0,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,183,80,133,120,142,57,29,56,10,32,1,0,15,0,1,0,0,0,0,0,0,0
2022-09-15,0,5,2,2,1,2,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,236,53,208,69,96,76,83,77,49,1,13,0,1,0,2,2,0,0,0,0,0,0
2022-09-20,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,20,12,0,0,0,0,0,0,0,1,17,11,0,0,0,0
2022-09-21,0,2,6,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,162,49,49,44,61,59,17,7,30,6,10,0,4,0,4,1,0,0,0,0,0,0
2022-09-22,0,1,0,0,1,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,325,90,49,64,82,126,14,7,47,9,5,0,1,0,0,0,0,0,0,0,0,0
2022-09-23,0,9,0,0,0,0,0,6,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,359,90,145,67,82,169,20,7,82,46,22,21,11,0,6,0,0,0,0,0,0,0
2022-09-24,0,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,191,63,144,27,53,92,4,7,78,35,15,3,0,0,3,0,0,0,5,0,0,0
2022-09-25,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,23,0,0,0,0,0,0,0,0,12,5,4,0,0,0,0
2022-09-26,0,2,2,0,0,2,4,1,1,3,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,7,215,40,191,43,130,62,119,41,60,8,46,12,4,0,0,34,2,0,0,0,0,0
